16595179-16595179#Shoplet, MATCH
21174949-40594575#TigerDirect, MISMATCH
23139316-21977969#UnbeatableSale.com, MISMATCH
41608024-41868020#TigerDirect, MISMATCH
42997495-43034751#O.co, MISMATCH
33617522-42579266#TigerDirect, MISMATCH
41487536-41487536#US Micro, MATCH
41344626-41344626#US Micro, MATCH
40634651-40634651#Monoprice Inc, MATCH
32542184-42464318#TigerDirect, MISMATCH
5924810-5924810#Shoplet, MATCH
27940463-27940463#HappEshopper, MATCH
33830001-40614629#TigerDirect, MISMATCH
40500280-40500280#Monoprice Inc, MATCH
42523517-42523517#US Micro, MATCH
41889555-22251382#UnbeatableSale.com, MISMATCH
41194448-41194448#TEKENVY, MATCH
40908604-40920043#Zoro, MISMATCH
32514705-42832571#TigerDirect, MISMATCH
11315501-11147800#Walmart.com, MISMATCH
39823104-39823104#Tech For Less Inc, MISMATCH
38197967-40717744#TigerDirect, MISMATCH
14916385-14916385#Tonzof, MATCH
41030713-41030713#TEKENVY, MATCH
41192532-41192532#TEKENVY, MATCH
41194557-41194557#TEKENVY, MATCH
42523144-42523144#SF Planet, MATCH
21895237-21882491#UnbeatableSale.com, MISMATCH
42490718-42476456#TigerDirect, MISMATCH
41032121-41032121#TEKENVY, MATCH
32504574-29897349#UnbeatableSale.com, MISMATCH
27534486-27534486#OneCall, MISMATCH
41177277-41177277#US Micro, MATCH
19311011-19311011#Shoplet, MATCH
40899083-40899083#TEKENVY, MATCH
42551022-42551022#TEKENVY, MATCH
23142715-41356501#Zoro, MISMATCH
34173513-42466266#TigerDirect, MISMATCH
41261248-41261248#TEKENVY, MATCH
40898410-40898410#TEKENVY, MATCH
42516033-21836085#UnbeatableSale.com, MISMATCH
38103199-41153046#TigerDirect, MISMATCH
40986837-40986837#TEKENVY, MATCH
40898539-40898539#TEKENVY, MATCH
24707031-24707031#HappEshopper, MATCH
41966613-41394962#Zoro, MISMATCH
17327900-17327900#Circuit City, MATCH
40499862-40499862#Monoprice Inc, MATCH
11988058-11988064#Walmart.com, MISMATCH
11962419-11961348#Wayfair, MISMATCH
40500768-40500768#Monoprice Inc, MATCH
13212900-13212900#Shoplet, MATCH
38106134-38106134#Focus Camera, MISMATCH
37213040-42781018#TigerDirect, MISMATCH
10740337-11040305#Walmart.com, MISMATCH
40998907-41526775#TigerDirect, MISMATCH
11195424-11205226#Wayfair, MISMATCH
41283258-40334928#TigerDirect, MISMATCH
41277417-39196691#TigerDirect, MISMATCH
38298925-40977625#TigerDirect, MISMATCH
42973123-42945168#O.co, MISMATCH
40499977-42004009#Zoro, MISMATCH
16439879-16439879#Shoplet, MATCH
10825593-27883376#UnbeatableSale.com, MISMATCH
33838667-11077933#Walmart.com, MISMATCH
41592797-42397743#TigerDirect, MISMATCH
639034-639034#Walmart.com, MATCH
20581756-41986584#Zoro, MISMATCH
42464094-42462605#TigerDirect, MISMATCH
41259903-41259903#TEKENVY, MATCH
16541373-26779686#UnbeatableSale.com, MISMATCH
928892-928892#Walmart.com, MATCH
40375498-42397884#TigerDirect, MISMATCH
40618730-40712153#TigerDirect, MISMATCH
22079435-22055717#UnbeatableSale.com, MISMATCH
17196131-17196131#Circuit City, MISMATCH
843819-843819#Walmart.com, MATCH
11089822-11089853#Walmart.com, MISMATCH
40898030-40898030#TEKENVY, MATCH
1234888-1234888#Shoplet, MATCH
42523461-42523461#US Micro, MATCH
12020334-11961888#Walmart.com, MISMATCH
42945135-42973833#O.co, MISMATCH
43091601-43091581#TigerDirect, MISMATCH
40500066-40500066#Monoprice Inc, MATCH
38135825-40722244#TigerDirect, MISMATCH
41192925-41192925#TEKENVY, MATCH
39107986-26408281#UnbeatableSale.com, MISMATCH
536115-536115#Walmart.com, MATCH
42464609-42450906#TigerDirect, MISMATCH
32513426-40962179#TigerDirect, MISMATCH
25833470-25833470#Music123, MATCH
932036-932036#Walmart.com, MISMATCH
40987162-40987162#TEKENVY, MATCH
42464094-42458799#TigerDirect, MISMATCH
38505695-42397279#TigerDirect, MISMATCH
41177517-41177517#US Micro, MATCH
30240165-30240165#Tech For Less Inc, MATCH
37347722-42394386#TigerDirect, MISMATCH
2685988-2685988#Shoplet, MATCH
40500625-40500625#Monoprice Inc, MATCH
41033569-41034431#TigerDirect, MISMATCH
12548337-12548336#Wayfair, MISMATCH
42491476-42489884#TigerDirect, MISMATCH
40499834-40499834#Monoprice Inc, MATCH
40555874-42396990#TigerDirect, MISMATCH
11319424-11961839#Walmart.com, MISMATCH
5723580-5723580#UnbeatableSale.com, MATCH
41177475-41177475#US Micro, MATCH
40137178-41590049#TigerDirect, MISMATCH
561132-561132#Walmart.com, MATCH
42396412-42396131#TigerDirect, MISMATCH
22102076-22102098#UnbeatableSale.com, MISMATCH
38421138-40427005#TigerDirect, MISMATCH
42512637-42488224#TigerDirect, MISMATCH
11089814-11089806#Walmart.com, MISMATCH
42395159-42396611#TigerDirect, MISMATCH
41174665-41174665#SF Planet, MATCH
40984616-40984616#TEKENVY, MATCH
41967118-41967118#Focus Camera, MATCH
41493751-41493751#TEKENVY, MATCH
40500505-40500505#Monoprice Inc, MATCH
34299431-34299431#Focus Camera, MISMATCH
11331605-11331611#Walmart.com, MISMATCH
40898545-40898545#TEKENVY, MATCH
40712162-40712162#OneCall, MATCH
41459391-41459391#TEKENVY, MATCH
